Record	REFERENCE	NAME	LENGTH	YEAR_KNOWN	EASTING	NORTHING
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/947582' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW939	E LONDON RVR CROSSING BH182	34.95	null	543970	181290
<a href='http://shop.bgs.ac.uk/GeoRecords/' class= 'bodyLink' target='_blank'>Confidential/restricted access borehole - try GeoRecords Plus+.</a>	TQ48SW3838	EAST LONDON RIVER CROSSING A13 TO A2,CONRACT 2 VOL IV 182	Confidential	1983	543970	181290
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/14287807' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW2527	DLR BECKTON EXTENSION TP33	3.4	1987	543980	181280
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/14287743' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW2494	DLR BECKTON EXTENSION BH2	20	1987	544010	181270
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/14287771' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW2507	DLR BECKTON EXTENSION TP6	3	1987	544070	181260
<a href='http://shop.bgs.ac.uk/GeoRecords/' class= 'bodyLink' target='_blank'>Confidential/restricted access borehole - try GeoRecords Plus+.</a>	TQ48SW3834	EAST LONDON RIVER CROSSING A13 TO A2,CONRACT 2 VOL IV 178	Confidential	1983	544020	181180
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/947578' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW935	E LONDON RVR CROSSING BH178	30	null	544023	181186
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/14287828' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW2536	DLR BECKTON EXTENSION TP42	3	1987	544100	181250
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/14287772' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW2508	DLR BECKTON EXTENSION TP7	4.3	1987	544150	181230
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/947579' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW936	E LONDON RVR CROSSING BH179	24.95	null	543976	181194
<a href='http://shop.bgs.ac.uk/GeoRecords/' class= 'bodyLink' target='_blank'>Confidential/restricted access borehole - try GeoRecords Plus+.</a>	TQ48SW3836	EAST LONDON RIVER CROSSING A13 TO A2,CONRACT 2 VOL IV 180	Confidential	1983	543990	181250
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/14287808' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW2528	DLR BECKTON EXTENSION TP34	3	1987	543950	181250
<a href='http://shop.bgs.ac.uk/GeoRecords/' class= 'bodyLink' target='_blank'>Confidential/restricted access borehole - try GeoRecords Plus+.</a>	TQ48SW3837	EAST LONDON RIVER CROSSING A13 TO A2,CONRACT 2 VOL IV 181	Confidential	1983	543940	181250
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/947580' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW937	E LONDON RVR CROSSING BH180	50.300000000000004	null	543990	181250
<a href='http://scans.bgs.ac.uk/sobi_scans/boreholes/947581' class= 'bodyLink' target='_blank'>Scan</a>	TQ48SW938	E LONDON RVR CROSSING BH181	16.95	null	543947	181253
